population_size;candidate_max_size;crossover_rate; mutation_rate;new_candidates_rate; num_elites
100;42;0.9;0.4;0.4;1
Generation;Fitness;Candidate;Reactions
0;0;{7, 9, 12, 13, 19, 22, 24, 25, 27, 28, 33, 34, 38, 40, 42, 44, 46, 49, 51, 52, 54, 55, 57};['R_EX_M_gal__extr_pool', 'R_EX_M_ile__L__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_e_Biomass__cytop_pool', 'R_Sink_e_5_Deoxyadenosine__dra_damyloliticus', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_so4__extr_pool', 'R_EX_M_fe2__extr_pool', 'R_EX_M_h2__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_amet__extr_pool', 'R_EX_M_citr__L__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_hcys__L__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_aspsa__extr_pool', 'R_EX_M_ahcys__extr_pool', 'R_Sink_dad_5_5_Deoxyadenosine_C10H13N5O3__cytop_sazorense'] 
0;0;{36, 38, 40, 45, 46, 49, 18, 19, 55, 25, 26, 27, 28, 30};['R_EX_M_ncam__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_ahcys__extr_pool', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_cyan__extr_pool', 'R_EX_M_so4__extr_pool', 'R_EX_M_fe2__extr_pool', 'R_EX_M_e_Biomass__extr_pool'] 
0;0;{24, 18, 36, 46};['R_Sink_e_5_Deoxyadenosine__dra_damyloliticus', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_ncam__extr_pool', 'R_EX_M_fe3__extr_pool'] 
0;0;{1, 34, 6, 7, 40, 13, 16, 48, 52, 21, 54};['R_EX_M_arg__L__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_met__L__extr_pool', 'R_EX_M_aspsa__extr_pool'] 
0;0;{1, 7, 11, 44, 12, 50, 19, 27};['R_EX_M_arg__L__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_fru__extr_pool', 'R_EX_M_citr__L__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_so4__extr_pool'] 
0;0;{40, 10, 18, 53};['R_EX_M_ac__extr_pool', 'R_EX_M_h2o__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_glu__D__extr_pool'] 
0;0;{33, 39, 41, 13, 46, 21, 54, 25, 26};['R_EX_M_h2__extr_pool', 'R_EX_M_ppi__extr_pool', 'R_Sink_5_Deoxyadenosine__dra_paerophilum', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_met__L__extr_pool', 'R_EX_M_aspsa__extr_pool', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_cyan__extr_pool'] 
0;0;{2, 8, 12, 16, 23, 24, 26, 27, 29, 30, 35, 40, 41, 42, 43, 45, 46, 50, 51, 52, 55};['R_EX_M_s__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_e_Biomass__dra_damyloliticus', 'R_Sink_e_5_Deoxyadenosine__dra_damyloliticus', 'R_EX_M_cyan__extr_pool', 'R_EX_M_so4__extr_pool', 'R_EX_M_no3__extr_pool', 'R_EX_M_e_Biomass__extr_pool', 'R_EX_M_hco3__extr_pool', 'R_EX_M_ac__extr_pool', 'R_Sink_5_Deoxyadenosine__dra_paerophilum', 'R_EX_M_amet__extr_pool', 'R_EX_M_4pasp__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_EX_M_hcys__L__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_ahcys__extr_pool'] 
0;0;{5, 7, 9, 10, 13, 16, 17, 18, 19, 20, 23, 27, 28, 29, 30, 31, 36, 38, 40, 43, 48, 49, 52, 53, 54, 55, 57};['R_EX_M_pi__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_ile__L__extr_pool', 'R_EX_M_h2o__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_thr__L__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_h2s__extr_pool', 'R_EX_e_Biomass__dra_damyloliticus', 'R_EX_M_so4__extr_pool', 'R_EX_M_fe2__extr_pool', 'R_EX_M_no3__extr_pool', 'R_EX_M_e_Biomass__extr_pool', 'R_EX_M_so3__extr_pool', 'R_EX_M_ncam__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_4pasp__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_glu__D__extr_pool', 'R_EX_M_aspsa__extr_pool', 'R_EX_M_ahcys__extr_pool', 'R_Sink_dad_5_5_Deoxyadenosine_C10H13N5O3__cytop_sazorense'] 
0;0;{0, 4, 37, 5, 6, 8, 49, 56, 26, 29};['R_EX_M_nh4__extr_pool', 'R_EX_M_glc__aD__extr_pool', 'R_EX_M_C00163__extr_pool', 'R_EX_M_pi__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_Sink_amob_S_Adenosyl_4_methylthio_2_oxobutanoate_C15H20N5O6S__cytop_sazorense', 'R_EX_M_cyan__extr_pool', 'R_EX_M_no3__extr_pool'] 
